competition,season,source,field_name,pit_status,count,total,rate
LL,2021/22,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2021/22,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2022/23,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2023/24,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2024/25,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
LL,2025/26,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2010/11,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2011/12,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2012/13,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2013/14,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_corners,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_fouls,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_goals,PIT_UNSAFE,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_shots,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,home_yellow_cards,PIT_UNKNOWN,380,380,1.0
SA,2014/15,Football-Data.co.uk,result,PIT_UNSAFE,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_corners,PIT_UNKNOWN,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_fouls,PIT_UNKNOWN,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_goals,PIT_UNSAFE,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_red_cards,PIT_UNKNOWN,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_shots,PIT_UNKNOWN,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_shots_on_target,PIT_UNKNOWN,380,380,1.0
SA,2015/16,Football-Data.co.uk,away_yellow_cards,PIT_UNKNOWN,380,380,1.0
