competition,season,status,rows,source,reason,error
CAR,2010/11,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2010-11/eflcup.txt
CAR,2011/12,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2011-12/eflcup.txt
CAR,2012/13,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2012-13/eflcup.txt
CAR,2013/14,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2013-14/eflcup.txt
CAR,2014/15,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2014-15/eflcup.txt
CAR,2015/16,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2015-16/eflcup.txt
CAR,2016/17,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2016-17/eflcup.txt
CAR,2017/18,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2017-18/eflcup.txt
CAR,2018/19,AVAILABLE,93,openfootball,,
CAR,2019/20,AVAILABLE,92,openfootball,,
CAR,2020/21,AVAILABLE,90,openfootball,,
CAR,2021/22,AVAILABLE,92,openfootball,,
CAR,2022/23,AVAILABLE,93,openfootball,,
CAR,2023/24,AVAILABLE,93,openfootball,,
CAR,2024/25,AVAILABLE,93,openfootball,,
CAR,2025/26,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/england/master/2025-26/eflcup.txt
DFBP,2010/11,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2010-11/cup.txt
DFBP,2011/12,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2011-12/cup.txt
DFBP,2012/13,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2012-13/cup.txt
DFBP,2013/14,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2013-14/cup.txt
DFBP,2014/15,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2014-15/cup.txt
DFBP,2015/16,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2015-16/cup.txt
DFBP,2016/17,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2016-17/cup.txt
DFBP,2017/18,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/deutschland/master/2017-18/cup.txt
DFBP,2018/19,AVAILABLE,63,openfootball,,
DFBP,2019/20,AVAILABLE,63,openfootball,,
DFBP,2020/21,UNAVAILABLE,0,openfootball,,
DFBP,2021/22,UNAVAILABLE,0,openfootball,,
DFBP,2022/23,UNAVAILABLE,0,openfootball,,
DFBP,2023/24,UNAVAILABLE,0,openfootball,,
DFBP,2024/25,AVAILABLE,63,openfootball,,
DFBP,2025/26,AVAILABLE,48,openfootball,,
UCL,2010/11,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2010-11/cl.txt
UCL,2011/12,AVAILABLE,125,openfootball,,
UCL,2012/13,AVAILABLE,125,openfootball,,
